,retail_name,retail_state,snap,wic,alcohol,pharmacy,any_tob_sld,str_typ,year,can_surveyD,storelistmatch,c_any_str_typ,c_any_tob_sld,retail_st_geo,str_typ1,Convenience store with or without gas,Drug store or pharmacy ,"Beer, wine, liquor store",Mass merchandiser,Grocery store ,Other store type not listed,Tobacco Hookah ECig
13234,5k carryout,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.01114337715932169,0.0,0.009588628660965203,0.0,0.0,0.0,0.0
13235,bellstores ,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,0,1,,Ohio,Convenience,0.01616664218766905,0.0,0.0,0.0,0.0,0.0,0.0
13236,bp ,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.024241977289025544,0.0,0.00894592196748249,0.0,0.0,0.01684922369400118,0.013124184473967826
13237,bp ,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.024241977289025544,0.0,0.00894592196748249,0.0,0.0,0.01684922369400118,0.013124184473967826
13238,bright road beverage,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.011401860632720107,0.0,0.00901184729809893,0.0025603659000728155,0.004671755874542673,0.005637393383518406,0.0057077812509843074
13239,ciggs n stuff,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.007205366518060575,0.0,0.0,0.0,0.0,0.003082497511010865,0.005038802965552088
13240,circle k,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.033263652409362354,0.0,0.0,0.0,0.0,0.022704321621805034,0.0
13241,circle k ,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.033263652409362354,0.0,0.0,0.0,0.0,0.022704321621805034,0.0
13242,findlay party mart,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.010762803927119218,0.009024994045759344,0.010461678029144448,0.010754368603254523,0.004569227431235365,0.0034893217576983655,0.003122733199185852
13243,great scot,OH,,,,0.0,,Grocery store ,2016.0,1.0,1,1,,Ohio,Grocery,0.00303577800865967,0.0068203116960533355,0.005048920852250753,0.0,0.01428873617943307,0.0,0.0
13244,kroger ,OH,,,,1.0,,Grocery store ,2016.0,1.0,1,1,,Ohio,Grocery,0.012968126539152927,0.0,0.0,0.019922238712364215,0.04185771486776705,0.0,0.013124184473967826
13245,lucky's carry out,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.012236504206384955,0.0,0.014083642588234066,0.0,0.0048583955424459715,0.0033227626198220595,0.0019160697663662362
13246,northside party mart,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.011506028702276856,0.009024994045759344,0.01359068165821524,0.010754368603254523,0.00683225285803184,0.0034893217576983655,0.00531009727818049
13247,pilot travel centers llc,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.02065983696050083,0.004035631740453841,0.005769175167984169,0.00799866623566071,0.0064849998688158396,0.014320940174927986,0.004892368072325282
13248,rite aid ,OH,,,,1.0,,Drug store or pharmacy ,2016.0,1.0,1,1,,Ohio,Drug,0.006005637825970565,0.1343424414287929,0.0,0.0,0.009236815672180244,0.0,0.0
